word,pos,profile,definition,example,unit
.com,abbreviation,,internet abbreviation for company: used in some internet addresses which belong to companies and businesses,,Intro unit
.org,abbreviation,,internet abbreviation for organisation: used in some internet addresses,http://dictionary.cambridge.org/,Intro unit
a,determiner,A1,used before a noun to mean one thing or person,I need a car.,Unit 02
a,determiner,A2,every or each,Take one tablet three times a day.,Unit 12
a bit,phrase,A2,a small amount,I speak a bit of French.,Intro unit
couple,noun,B1,two or a few,There are a couple of shops near here.,Unit 05
a little,phrase,B1,a small amount,I speak a little Arabic.,Intro unit
lot,,A1,a large number or amount of people or things,There are a lot of pots and pans in the cupboard.,Unit 05
about,adverb,A1,"close to a particular number or time, although not exactly that number or time",I first met Ed when he was about sixteen.,Unit 10
about,preposition,A1,relating to a particular subject,Family Law is about the difficult relationship between a father and son.,Unit 10
abroad,adverb,B1,in or to a different country,Are you going abroad this summer?,Unit 02
absolutely,adverb,B1,completely,That sounds absolutely fantastic.,Unit 10
accident,noun,A2,"something bad which happens by chance, and hurts someone or damages something",a car accident,Unit 12
accommodation,noun,B1,a place where you live or stay,rented accommodation,Unit 14
accountant,noun,B1,someone whose job is keeping records of all the money that people or companies spend and get,She trained as an accountant.,Unit 07
accounting,,,"accountancy, the job of being an accountant",a job in accountancy,Unit 07
ache,noun,B1,pain which continues for a long time,I've got stomach ache.,Unit 12
across,preposition,A2,from one side to the other,I was walking across the road.,Unit 09
action film,noun,,a film in which a lot of exciting things happen,"He likes action films, like the Bond films.",Unit 10
address,noun,A1,"the number of a building and the name of the street, city, etc where it is",What's your address?,Intro unit
address,noun,A1,a group of letters and signs used to send email to someone or to find information on the Internet,an email/web address,Intro unit
address book,noun,,a book in which you keep a list of names and addresses,I was just looking him up in my address book.,Unit 04
admire,verb,B2,to like or respect someone or something because they are good or clever,I admire him for being so determined.,Unit 08
adventurous,adjective,B2,liking to try new or difficult things,I'm going to be more adventurous with my cooking.,Unit 08
advice,noun,A2,suggestions about what you think someone should do,There's a book giving advice on how to set up your own club.,Unit 12
after,preposition,A1,following in order,"After school, I did a French degree at Liverpool University.",Unit 14
after,conjunction,B1,at a later time than something else happens,I went to work after I had breakfast.,Unit 14
again,adverb,A1,once more,"Sorry, can you say that again?",Unit 03
age,noun,A1,"the number of years that someone has lived, or that something has existed",People of all ages were there.,Unit 01
ago,adverb,A2,in the past,six months ago,Unit 04
agree,verb,A2,to have the same opinion as someone,I agree with you.,Unit 08
air,noun,A2,the mixture of gases around the Earth which we breathe,air pollution,Unit 12
airline,noun,B1,a company that takes people and things to places in aeroplanes,Austria's national airline,Unit 11
airport,noun,A2,a place where planes take off and land,Heathrow airport,Unit 05
alcohol,noun,A2,drinks such as wine and beer that can make you drunk,I don't drink alcohol.,Unit 12
all,determiner,A2,the whole amount of something,That's all for now.,Unit 04
All right.,exclamation,A1,used to say yes to a suggestion,"How about going out for dinner? ""All right.""",Unit 02
allergic,adjective,,having an allergy,Are you allergic to anything?,Unit 12
alone,adverb,A2,without other people,She wants to live alone.,Unit 08
always,adverb,A1,"every time, or at all times",I always walk to work.,Unit 03
always,adverb,A2,at all times in the past,I've always wanted to go to Egypt.,Unit 13
am,noun,A1,present simple I of be,I am a student.,Unit 01
ambitious,adjective,B2,wanting to be successful or powerful,an ambitious young lawyer,Unit 08
America,noun,,a continent; the United States of America,He's from America.,Unit 05
American,adjective,,relating to the continent of America or the United States of America,an American accent,Unit 13
an,determiner,A1,used instead of 'a' when the next word starts with a vowel sound,an apple,Unit 02
and,conjunction,A1,used to join two words or two parts of a sentence,tea and coffee,Unit 06
animated film,noun,,an animated film is one in which drawings and models seem to move,They've made an animated film of the book.,Unit 10
ankle,noun,B1,the part of your leg that is just above your foot,He broke his ankle playing football.,Unit 12
