word,pos,profile,definition,example,unit
a,determiner,A2,every or each,I do three hours a day at the moment.,Unit 06
a bit,phrase,A2,slightly,"Um, it's a bit boring.",Unit 06
a lot (+ comparative),phrase,A1,very much,It can get a lot colder.,Unit 06
about,adverb,A1,"close to a particular number or time, although not exactly that number or time",They pay about 16 percent interest a year.,Unit 05
absolutely,adverb,B1,completely,I think he'll be absolutely furious.,Unit 09
achievement,noun,B1,something good that you have done that was difficult,This film is his greatest achievement to date.,Unit 12
across,adverb,A2,from one side to the other,It's about 18 cm across,Unit 08
"Actually, …",adverb,A2,used when you are saying what is true in a situation,"Actually, we were at university together.",Unit 04
administration,noun,,the things that you have to do in order to manage the work of an organization,"I've got experience in sales, administration and catering.",Unit 02
aerobics,noun,,"physical exercises that you do to music, especially in a class","When I was at college, I did aerobics.",Unit 01
after,preposition,A1,when something has happened,"After about half an hour, the Canadian guy called.",Unit 04
aggressive,adjective,B2,angry and violent towards another person,We all know that people are aggressive.,Unit 14
agree on,verb,B1,to decide something with someone,Remember to agree on a price first.,Unit 05
agree to,verb,B1,to say you will do something that someone asks you to do,He agreed to help me paint my house.,Unit 12
air conditioning,noun,B1,a system that keeps the air cool in a building or car,A lot of people use air conditioning but it’s expensive.,Unit 06
all,pronoun,A1,every person or thing in a group,I can find all the ingredients I need at my local supermarket.,Unit 03
all right,adjective,A2,"used to show that something is agreed, understood or acceptable",Is it all right if I drop by tomorrow?,Unit 01
all the time,phrase,A2,very often,I use it all the time.,Unit 13
almost,adverb,A2,nearly,… there was almost no choice.,Unit 03
along,preposition,A2,"from one part of a road, river, etc to another","If you continue along Damrak, you'll come to the Dam.",Unit 07
also,adverb,A1,in addition,"Also, the intercom doesn't work properly.",Unit 11
always,adverb,A2,at all times in the past,The food was not always good.,Unit 02
amazed,adjective,B1,very surprised,I was amazed at the price.,Unit 09
amazing,adjective,B1,very surprising,It's amazing how many people can't read.,Unit 01
amount,noun,B1,how much there is of something,He ate a huge amount of food.,Unit 05
angry,adjective,A2,feeling that you want to shout at someone or hurt them because they have done something bad,He's really angry with me for upsetting Sophie.,Unit 09
annoyed,adjective,B1,angry,I was annoyed with Charlotte for being late.,Unit 07
another,determiner,A2,a different person or thing,"Another problem is, we can't find the key for the balcony door.",Unit 11
Antarctica,noun,,the very cold continent in the most southern part of the world,It shows the coast of Antarctica.,Unit 08
antique,noun,B1,"an object that is old, and rare or beautiful",an antique book collector,Unit 08
any,determiner,A1,used in questions and negatives to mean 'some',We don't have any second-hand clothes.,Unit 08
any,determiner,A1,used to mean 'one' when it is not important which one,Any time is fine.,Unit 01
anything,pronoun,A1,used in questions and negatives to mean 'something',Are you doing anything tonight?,Unit 10
"Anyway, …",adverb,A2,"In conversation, used to change the subject, return to an earlier subject or get to the most interesting point","Anyway, what's new with you?",Unit 09
apartment block,noun,B1,a large building that is divided into apartments,"It has 46 areas, each with its own apartment blocks.",Unit 11
apologise,verb,B1,to tell someone that you are sorry about something you have done,I'd like to apologise.,Unit 09
apology,noun,B1,something you say or write to say sorry for something bad you have done,a letter of apology,Unit 09
apply,verb,B1,"to ask officially for something, often by writing",I applied to some colleges.,Unit 02
appointment,noun,A2,a time you have arranged to see someone,I have an appointment with Dr Jones for two o'clock.,Unit 01
archaeology,noun,,the study of people from long ago by looking at things such as their buildings and tools,What kind of archaeology do you do?,Unit 02
architecture,noun,B1,the design and style of buildings,modern architecture,Unit 11
army,noun,B1,a military force that fights wars on the ground,the British Army,Unit 05
arrange,verb,B1,to make plans for something to happen,I've arranged a meeting with him.,Unit 10
arrangement,noun,B1,plans for how something will happen,I've made arrangements to go home this weekend.,Unit 10
arrival,noun,B1,when someone or something arrives somewhere,late arrival,Unit 10
arrive,verb,A2,to get to a place,We arrived in Paris at midday.,Unit 05
art,noun,A2,"the making of paintings, drawings, etc or the things made",fine/modern art,Unit 01
article,noun,B1,a piece of writing in a magazine or newspaper,magazine articles,Unit 08
as,conjunction,B1,while,Five or six people tried to stop me as I was driving through the city.,Unit 04
(not) as ... as,phrase,A2,"used to compare two things, people, amounts, etc",Texas isn't as cold as Edmonton.,Unit 06
"As far as I know, …",phrase,B2,"used to say what you think is true, although you do not know all the facts","As far as I know, he was a simple man.",Unit 12
as soon as ,phrase,B1,at the same time or a very short time after,"As soon as I started using the digital camera, my pictures were terrible.",Unit 13
as soon as possible,phrase,A2,"If you do something as soon as possible, you do it as quickly as you can",We need the repairs done as soon as possible.,Unit 11
at the moment,phrase,A2,now,What are you doing at the moment?,Unit 01
athlete,noun,B1,"someone who is good at sports such as running, jumping, or throwing things",I'm not a great athlete.,Unit 01
Atlantic Ocean,noun,,the second largest of the world's oceans,The Cape Verde islands are in the Atlantic Ocean,Unit 12
atmosphere,noun,B1,the feeling which exists in a place or situation,There's a nice atmosphere. ,Unit 02
Austria,noun,,a country in Europe,It’s between Austria and Switzerland.,Unit 12
away,adverb,A2,"somewhere else, or to or in a different place, position or situation",I'll be away on business.,Unit 09
awful,adjective,B1,very bad,I think it's awful.,Unit 14
back,noun,A2,the part of something that is furthest from the front or in the opposite direction to the front,Can I put my case in the back?,Unit 04
back,adverb,A1,returning where someone or something was before,I'll be back in five minutes.,Unit 04
back,adjective,A2,at or near the back of something,He found it on the back seat.,Unit 04
bad,adjective,A1,not good or pleasant,bad weather,Unit 06
bag,noun,A1,a container used for carrying things,Would you like a bag?,Unit 05
bake ,verb,A2,to cook something such as bread or a cake in an oven,I sometimes bake cakes.,Unit 03
baking tray,noun,,a flat piece of metal that you put things such as biscuits on when you cook them in an oven,pour onto a baking tray,Unit 03
balance,noun,B2,the amount of money you have in a bank account,balance enquiry,Unit 05
balcony,noun,B1,a small area on the outside wall of a high building where you can stand or sit,There's a balcony.,Unit 11
ball,noun,A1,"a round object that you throw, kick, or hit in a game, or something with this shape",a tennis ball,Unit 08
ban,verb,B2,to officially stop a person or many people from doing something,"If you ban boxing, it will become more dangerous.",Unit 14
bank account,noun,B1,an arrangement with a bank to keep your money there and take it out when you need it,I need to open a bank account.,Unit 10
bank statement,noun,,a piece of paper that shows how much money you have put into your bank account and how much you have taken out,paper bank statements,Unit 08
barbecue,noun,A2,a party at which you cook food over a fire outdoors,How about we organise a barbecue?,Unit 03
barbecue,noun,A2,a metal frame for cooking food over a fire outdoors,We can put veggies on the barbecue.,Unit 03
bargain,verb,B2,to try to agree how much you will pay for something,Do you usually just pay the full price or do you bargain?,Unit 08
basil,noun,,a plant whose leaves are used to add flavour to food,basil leaves,Unit 03
basketball,noun,A1,a game in which two teams try to win points by throwing a ball through a high net,He won a basketball scholarship.,Unit 12
be able to,verb,A2,"to have the necessary physical strength, mental power, skill, time, money or opportunity to do something",I would love to be able to play it again.,Unit 01
be born,phrase,A2,"When a person or animal is born, they come out of their mother's body and start to exist",She was born in London in 1973.,Unit 06
be up to,phrase,B1,"to be doing or planning something, often something secret and bad",What have you been up to?,Unit 09
be up to,phrase,B1,to be the responsibility of someone,It's up to you.,Unit 05
become,verb,A2,to begin to be something,He became interested in sumo from watching it on television.,Unit 12
because,conjunction,A1,used to give a reason for something,I just like it because it means I can do a lot of different things.,Unit 08
been,verb,A2,be,It's been so hot today.,Unit 02
believe,verb,A2,"to think something, although you are not completely sure",Many experts believe it was made in Europe.,Unit 08
benefits,noun,B1,extra good things that you get from your employer in addition to the usual fixed amount of money,benefits such as private health care,Unit 02
best,adjective,A1,good: better than any other,She's one of our best students.,Unit 06
"Best wishes, …",phrase,A2,something you say or write at the end of a letter or email,"Best wishes, Marc",Unit 01
better,adjective,A1,good: of a higher quality or more enjoyable than someone or something else,He got a better job in the States.,Unit 06
better,adverb,A1,"well: more, or in a more successful way",I'd like to get to know him better.,Unit 06
between,preposition,A1,"in the space that separates two places, people, or things",It's between Austria and Switzerland.,Unit 12
bill,noun,A2,a piece of paper that tells you how much you must pay for something,Could I have the bill?,Unit 05
blind,adjective,B1,not able to see,Deaf and blind people can laugh.,Unit 09
block,noun,B1,a large building containing many apartments or offices,a block of flats,Unit 11
boil,verb,B1,to cook food in water that is boiling,Boil the pasta for 10 minutes.,Unit 03
boiling,adjective,B2,very hot,Hot? It's boiling!,Unit 09
bonus,noun,B2,"an extra amount of money that you are given, especially because you have worked hard",I've got my bonus!,Unit 13
book,verb,A2,to arrange to use or do something at a time in the future,"I'd like to book a room for three nights, from the tenth of November.",Unit 10
border,verb,,to have a border with another country,It borders France.,Unit 12
bored with,adjective,A1,feeling tired and unhappy because something is not interesting,I'm bored with this film.,Unit 03
boring,adjective,A1,not interesting or exciting,a boring job,Unit 03
borrow,verb,A2,to take money from a bank and pay it back over a period of time,I borrowed some money from the bank.,Unit 05
bother,verb,B2,to make the effort to do something,I don't bother with it.,Unit 13
bottled water,noun,A2,water which has been treated in order to make it very clean and which has come from a special place and which is sold in bottles,Don’t drink bottled water.,Unit 14
bought,verb,A1,PAST of buy,I've just bought you a birthday present.,Unit 09
bowl,noun,A2,"a round, deep dish used for holding soup and other food",Put them in a bowl.,Unit 03
boxer,noun,,someone who does the sport of boxing,Boxers are great athletes.,Unit 14
boxing,noun,B1,"a sport in which two people hit each other while wearing big, leather gloves (=pieces of clothing for your hands)",Boxing is dangerous.,Unit 14
(boxing) ring,noun,,a small enclosed area where boxers compete,The boxers mustn't step outside the ring.,Unit 14
break,noun,A2,"when you stop an activity for a short time, usually to rest or to eat",a lunch / coffee / cigarette break,Unit 02
breakfast,noun,A1,the food you eat in the morning after you wake up,We all have breakfast at different times.,Unit 03
breathe,verb,B1,to take air into and out of your lungs,breathe in/out,Unit 09
bring,verb,A2,to take someone or something with you when you go somewhere,What clothes should I bring?,Unit 05
broken,adjective,A2,damaged and separated into pieces,broken glass,Unit 11
broken,adjective,A2,not working,The video's broken.,Unit 11
bring up,verb,B1,"to care for a child until it is an adult, often giving it particular beliefs",I was brought up to play classical piano.,Unit 01
buffet,noun,,a meal in which dishes of food are arranged on a table and you serve yourself,a buffet breakfast,Unit 10
built,verb,A2,PAST of build,They've built two new hotels in the last six months.,Unit 09
business centre,noun,,an organization that provides services and advice for people who work in business,A business centre is important.,Unit 10
business hotel,noun,,a hotel that has meeting rooms and equipment that business people can use when they are working together,Our comfortable business hotel is located in the heart of Kuala Lumpur.,Unit 10
by (+ time),preposition,A2,before a particular time or date,What do you hope to have done by 2020?,Unit 08
by (a person),preposition,A2,used to show the person or thing that does something,They were given to me by my mother.,Unit 08
by (a place) ,preposition,B1,near or next to,Would you prefer to live by the sea or in the mountains?,Unit 08
by (noun / -ing),preposition,A2,through doing or using something,Can I pay by card?,Unit 08
by,preposition,,used to show measurements or amounts,It's 25 by 18 cm.,Unit 08
calculator,noun,B1,a small machine that you use to do mathematics,Can you remember your ﬁrst calculator? ,Unit 13
call,verb,A2,to telephone someone,Could you ask him to call me?,Unit 13
call,verb,A1,to give someone or something a particular name,We have our own instrument called the steel drum,Unit 01
call (sb) back,phrasal verb,A2,"to telephone someone again, or to telephone someone who telephoned you earlier",I'll call you back later.,Unit 13
caller,noun,,someone who makes a telephone call,The caller's name is Yusuf Karim.,Unit 02
calorie,noun,,a unit for measuring the amount of energy food provides,I try to eat about 2000 calories a day.,Unit 06
calypso,noun,,a type of popular West Indian song,We have a local music called calypso.,Unit 01
can (for permission),modal verb,A1,to be allowed to,You can smoke when you're 16.,Unit 05
can,modal verb,A1,used to request something,Can we have a bottle of water?,Unit 03
cancel,verb,B1,to say that an organized event will not happen,The meeting has been cancelled.,Unit 01
can’t stand,verb,B1,to hate someone or something,I can't stand waiting.,Unit 12
capital,noun,B1,the most important city in a country or state,The capital is Funafuti.,Unit 12
car,noun,A1,"a vehicle with an engine, four wheels, and seats for a few people",There are so many cars on the roads.,Unit 01
